price,quantity,label
90,11,normal
341,538,event
375,579,event
43,23,normal
86,46,normal
20,814,bulking
33,58,normal
271,544,event
83,52,normal
16,860,bulking
11,5,normal
16,26,normal
20,12,normal
185,684,event
12,462,bulking
8,766,bulking
51,74,normal
17,589,bulking
81,29,normal
71,79,normal
81,6,normal
378,431,event
188,695,event
283,417,event
5,681,bulking
275,745,event
63,16,normal
87,39,normal
413,785,event
230,733,event
484,418,event
75,71,normal
24,28,normal
14,408,bulking
88,24,normal
389,778,event
44,52,normal
177,949,event
333,987,event
20,741,bulking
9,545,bulking
68,73,normal
262,723,event
426,462,event
67,79,normal
12,30,normal
241,438,event
97,37,normal
87,98,normal
398,810,event
20,968,bulking
16,441,bulking
98,45,normal
260,474,event
471,876,event
6,849,bulking
14,498,bulking
54,28,normal
10,53,normal
97,20,normal
53,13,normal
98,13,normal
8,772,bulking
422,696,event
382,601,event
63,5,normal
155,928,event
372,704,event
57,24,normal
20,602,bulking
9,590,bulking
96,63,normal
455,660,event
17,910,bulking
457,718,event
380,806,event
16,572,bulking
8,795,bulking
191,817,event
484,818,event
11,581,bulking
435,567,event
243,770,event
17,518,bulking
72,73,normal
64,7,normal
38,91,normal
8,672,bulking
14,616,bulking
19,947,bulking
10,543,bulking
217,708,event
17,54,normal
13,786,bulking
14,891,bulking
12,700,bulking
9,475,bulking
12,91,normal
452,512,event
81,58,normal
91,88,normal
13,591,bulking
235,804,event
7,757,bulking
71,84,normal
396,980,event
23,96,normal
17,531,bulking
9,916,bulking
378,958,event
61,19,normal
344,925,event
499,760,event
392,614,event
15,860,bulking
6,649,bulking
9,747,bulking
60,50,normal
388,997,event
434,858,event
99,41,normal
97,96,normal
16,784,bulking
152,540,event
46,11,normal
100,65,normal
219,868,event
9,760,bulking
189,717,event
183,971,event
87,37,normal
369,685,event
71,47,normal
24,89,normal
192,404,event
61,18,normal
99,36,normal
33,29,normal
20,875,bulking
11,64,normal
97,6,normal
11,819,bulking
41,22,normal
94,40,normal
256,517,event
37,90,normal
7,857,bulking
203,572,event
24,20,normal
61,16,normal
224,543,event
341,777,event
8,789,bulking
19,870,bulking
351,861,event
8,543,bulking
42,72,normal
287,536,event
50,63,normal
89,42,normal
16,623,bulking
18,495,bulking
11,94,normal
371,725,event
5,840,bulking
24,10,normal
9,930,bulking
6,764,bulking
174,581,event
5,404,bulking
18,797,bulking
